원문	빈도	분류	붙는 호칭	겹치는 표기	번역	예문
センパール	7	지명·학교			센퍼르	치토세의 출신 사관학교
クロノ・ブレイク・キャノン	54	병기		クロノ・ブレイク	크로노・브레이크・캐논	에르시올의 주포
ランファ・フランボワーズ	2	인물		ランファ	란파・프란보와즈	문 엔젤대 대원 전체 이름
フォルテ・シュトーレン	9	인물		フォルテ	포르테・슈토렌	문 엔젤대 대원 전체 이름
レスター・クールダラス	2	인물		レスター クールダラス	레스터・쿨다라스	택트의 부관
ミント・ブラマンシュ	5	인물		ミント ブラマンシュ	민트・브라만슈	문 엔젤대 대원 전체 이름
シャープシューター	33	GA 시리즈·후속작			샤프 슈터	GA-006·치토세 전용 문장기(본작에서 실제 등장)
タクト・マイヤーズ	29	인물		タクト マイヤーズ	택트・마이어스	주인공의 전체 이름
トランスバール皇国	27	조직·국가		トランスバール	트랜스벌 황국	주요 국가
ロストテクノロジー	23	세계관			로스트 테크놀로지	잃어버린 고대 기술
カンフーファイター	10	GA 시리즈			쿵푸 파이터	GA-002·란파 전용 문장기
ミルフィーユ・桜葉	7	인물		ミルフィーユ ミルフィー	밀피유・사쿠라바	문 엔젤대 대원 전체 이름
クロノ・ドライヴ	54	메카 설정			크로노・드라이브	초광속 항법 기관
ドライヴ・アウト	29	메카 설정			드라이브・아웃	크로노 드라이브 종료
ヴァル・ファスク	29	조직			발・파스크	본작의 적 세력
トリックマスター	13	GA 시리즈			트릭 마스터	GA-003·민트 전용 문장기
ハッピートリガー	12	GA 시리즈			해피 트리거	GA-004·포르테 전용 문장기
ムーンエンジェル	5	조직		エンジェル	문 엔젤대	주역 부대
トランスバール	58	지명·조직		シヴァ・トランスバール エオニア・トランスバール	트랜스벌	황국명 또는 황실 성
ラッキースター	35	GA 시리즈			럭키 스타	GA-001·밀피유 전용 문장기
エンジェル隊	426	조직		エンジェル	엔젤대	문맥상 문 엔젤대를 가리킬 때 사용
エルシオール	341	함선			에르시올	문 엔젤대의 모함
シャトヤーン	155	인물	様x140		샤토얀	백색 달의 성모
ミルフィーユ	59	인물	さんx33 君x1	ミルフィーユ・桜葉 ミルフィー	밀피유	정식 이름 표기
ネフューリア	59	인물	さんx2		네퓨리아	발・파스크 측 인물
クールダラス	38	인물	さんx1	レスター・クールダラス	쿨다라스	레스터의 성·본작에서는 「クールダラス司令」으로도 불린다
ハーベスター	20	GA 시리즈			하베스터	GA-005·바닐라 전용 문장기
クジラルーム	20	지명		クジラ	쿠지라 룸	에르시올 함내 시설
ブラマンシュ	9	인물		ミント・ブラマンシュ ダルノー・ブラマンシュ	브라만슈	민트 일가의 성
ヴァニラ・Ｈ	6	인물		ヴァニラ	바닐라・H	문 엔젤대 대원 전체 이름
ミルフィー	732	인물	さんx29 ちゃんx7	ミルフィーユ ミルフィーユ・桜葉	밀피	작중 애칭
マイヤーズ	366	인물		タクト・マイヤーズ	마이어스	주인공의 성
オ・ガウブ	15	병기			오・가우브	발・파스크의 거대 병기
烏丸ちとせ	14	인물	さんx1	烏丸 ちとせ	카라스마 치토세	신규 엔젤대 대원 전체 이름
ローム星系	1	지명		ローム	롬 성계	행성 ローム은 롬
ヴァニラ	742	인물	さんx38 ちゃんx25	ヴァニラ・Ｈ	바닐라	문 엔젤대 대원
ランファ	691	인물	さんx70 ちゃんx1	ランファ・フランボワーズ	란파	문 엔젤대 대원
フォルテ	529	인물	さんx93 君x1	フォルテ・シュトーレン	포르테	문 엔젤대 대원
レスター	135	인물	さんx4 様x1	レスター・クールダラス	레스터	택트의 부관
エオニア	66	인물	さんx1	エオニア・トランスバール	에오니아	반란군 지도자
クロミエ	52	인물	さんx9 くんx4	クロミエ・クワルク	크로미에	에르시올 승무원
クレータ	36	인물	さんx1		크레타	에르시올 정비반장
レナ星系	29	지명		レナ	레나 성계	화물선 실종 사건이 일어난 성계
ムギムギ	14	인물			무기무기	바닐라의 마스코트 생물
カフカフ	10	세계관			카프카프	은하전망공원의 나무·100년에 한 번 개화
リッキー	3	인물	君x2		리키	작중 언급되는 아이돌
タクト	2125	인물	さんx1241 様x2	タクト・マイヤーズ	택트	주인공의 이름·호칭
ちとせ	1035	인물	さんx91 君x2	烏丸ちとせ	치토세	신규 엔젤대 대원·본작 히로인
ミント	657	인물	さんx46 さまx1 ちゃんx2 君x1	ミント・ブラマンシュ	민트	문 엔젤대 대원
白き月	230	세계관			백색 달	트랜스벌의 위성·로스트 테크놀로지 시설
紋章機	228	메카 설정			문장기	엠블렘 프레임의 작중 명칭
シヴァ	194	인물	様x60	シヴァ・トランスバール	시바	트랜스벌 황국의 황자
黒き月	173	세계관			흑색 달	에오니아군의 근거지
ルフト	158	인물			루프트	트랜스벌 황국군 장군
アルモ	100	인물	さんx1		아르모	에르시올 오퍼레이터
ケーラ	54	인물			케라	에르시올 군의관
レゾム	50	인물			레좀	발・파스크 측 인물
ラーク	18	인물			라크	샤토얀이 언급하는 인물
時空震	10	세계관		クロノ・クェイク	시공진	우주 규모의 재해
ノア	212	인물	さんx70 様x4		노아	흑색 달의 관리 시스템
ココ	51	인물	さんx1 様x1		코코	에르시올 오퍼레이터
烏丸	48	인물	さんx2	烏丸ちとせ	카라스마	치토세의 성
